Unnamed: 0,id,artist,song,album_name,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,tags,lang
8193,Qxyt0gn3KccE2ccT,Lou Reed,How Do You Speak To An Angel,Growing Up In Public,4uMnCgfx6emOFVv3Uf8CqG,13.0,1980,0.49,0.721,0.0,0.0,0.39,117.441,248120,"singer-songwriter,pop,come talk to me,hand claps,weallgetold,eclectonia",en
8004,nGt1GGh9WFmysu7h,Yellow Magic Orchestra,Citizens Of Science,Multiplies,4b1jLMp70riKGMSykB3ceD,9.0,1980,0.746,0.8640000000000001,11.0,0.0,0.91,149.95,269253,"japanese,pop,techno,synth pop",en
8017,sDSnjyax8ttPZvHr,Tim Maia,Nossa História De Amor,Tim Maia 1980,1ydbpdhB8QBgM5j0loXxSL,20.0,1980,0.642,0.693,5.0,1.0,0.747,100.554,264122,"brasil,80s,mpb,pop nacional,tim maia,funk nacional",pt
8285,9PUnKxg2n1co5JI1,Billy Joel,Don't Ask Me Why,Glass Houses,6g4vHtdGqD5eEgpf7nKISk,48.0,1980,0.691,0.726,5.0,1.0,0.868,98.418,177360,"classic rock,rock,pop,80s,singer-songwriter,billy joel",en
8089,ooxZUFY2IRpA02Yn,Fischer-Z,So Long,Going Deaf For A Living,3XAiXl3dKpG7b0qcrCtBD4,43.0,1980,0.556,0.384,0.0,1.0,0.8909999999999999,126.841,302733,"new wave,80s,pop,rock",en
7971,LODlZ2SaoVCgSUaM,Elton John,Little Jeannie,21 At 33,7pgAdesi3gGZO8lAyzOTvu,40.0,1980,0.6,0.373,10.0,1.0,0.805,143.686,317000,"80s,rock,pop,british",en
7900,ccs2vuKZfAgrrojJ,Visage,Malpaso Man,Visage,6zOkPO3oli3tbgj50eV8fm,17.0,1980,0.5379999999999999,0.884,1.0,1.0,0.545,141.168,254773,"new wave,synthpop,new romantic",en
8107,mlq4F69u3jr768fh,Tim Maia,Não Vá,Tim Maia 1980,6d4KqeYESkFHMirUgE1Aa3,33.0,1980,0.6579999999999999,0.741,2.0,1.0,0.928,103.283,307037,"brasil,80s,balada,pop nacional,tim maia,rj",pt
7975,K7AixbDxtEfGfwBL,Visage,Fade to Grey,Visage,3yobQNuKVJ62WDU7h725Fu,56.0,1980,0.606,0.4320000000000001,2.0,0.0,0.517,112.357,239359,"80s,new wave,synthpop,new romantic",en
8219,oYZKrbnN2fdRshrI,Ultravox,Mr. X - 2008 Remaster,Vienna (Remastered Definitive Edition),2ER6IcOcgjTE7IfTwTXy7l,26.0,1980,0.693,0.682,9.0,0.0,0.8540000000000001,136.668,395347,"new wave,synthpop,80s,new romantic",en
8214,avSFhKA5GZMDAuLM,Diana Ross,Now That You're Gone,Diana,3AFCuyWTno6i7EjhYXf5a3,18.0,1980,0.7340000000000001,0.735,5.0,1.0,0.841,152.52100000000004,239867,"soul,female vocalists,80s,pop,soul,disco,pop",en
8220,uDEHUuCSIiJAvQlk,ABBA,Our Last Summer,Super Trouper,59WTZPf9NQqv3PPSxwDTJq,36.0,1980,0.508,0.531,2.0,1.0,0.417,98.391,259733,"pop,abba,80s,disco,swedish",en
7752,wseHTzAPGkOJ5uHL,Japan,Swing,Gentlemen Take Polaroids,5nnMxpLaV3b33u3MkbBDJC,23.0,1980,0.767,0.547,0.0,1.0,0.755,133.553,386667,"new wave,80s,new romantic,synth pop",en
8177,X5FoSQ4ny3E6s94E,Air Supply,Lost in Love,Lost in Love,7dQC53NiYOY9gKg3Qsu2Bs,63.0,1980,0.512,0.262,0.0,1.0,0.357,108.381,243000,"80s,soft rock,pop,air supply,classic rock",en
8274,EkKbwXy1Wot9kifd,Madness,Embarrassment,Absolutely,0PIqPVfz3fswMtSEeRWiWq,21.0,1980,0.467,0.825,5.0,0.0,0.88,75.46300000000002,190893,"ska,80s,pop,madness",en
